outbreak_id;code;focus_type;country;region;province;livestock_region;municipality;uvl;disease;no_of_affected_species;serotype;species;confirmation_date
2007/3190_1;2007/3190;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;19/10/2007
2007/3189_1;2007/3189;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;07/11/2007
2007/3188_1;2007/3188;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;08/11/2007
2007/3187_1;2007/3187;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;08/11/2007
2007/3186_1;2007/3186;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;22/10/2007
2007/3185_1;2007/3185;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;23/10/2007
2007/3184_1;2007/3184;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;06/11/2007
2007/3183_1;2007/3183;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;19/10/2007
2007/3182_1;2007/3182;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;07/11/2007
2007/3181_1;2007/3181;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;07/11/2007
2007/3180_1;2007/3180;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;29/10/2007
2007/3179_1;2007/3179;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;06/11/2007
2007/3178_1;2007/3178;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;06/11/2007
2007/3177_1;2007/3177;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;19/10/2007
2007/3176_1;2007/3176;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;07/11/2007
2007/3175_1;2007/3175;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;06/11/2007
2007/3174_1;2007/3174;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;06/11/2007
2007/3173_1;2007/3173;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;19/10/2007
2007/3172_1;2007/3172;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;08/11/2007
2007/3171_1;2007/3171;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;08/11/2007
2007/3170_1;2007/3170;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;22/10/2007
2007/3169_1;2007/3169;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;22/10/2007
2007/3168_1;2007/3168;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;19/10/2007
2007/3167_1;2007/3167;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;22/10/2007
2007/3166_1;2007/3166;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;07/11/2007
2007/3165_1;2007/3165;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;19/10/2007
2007/3164_1;2007/3164;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;07/11/2007
2007/3163_1;2007/3163;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;29/10/2007
2007/3162_1;2007/3162;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;22/10/2007
2007/3161_1;2007/3161;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;19/10/2007
2007/3160_1;2007/3160;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;08/11/2007
2007/3159_1;2007/3159;Secundario;España;ANDALUCÍA;CÓRDOBA;HINOJOSA DEL DUQUE (PEDROCHES II );Hinojosa del Duque;Córdoba;Lengua azul;1;;Ovinos;19/10/2007
