"","code","focus_type","country","region","province","livestock_region","international_region","municipality","uvl","disease","n_affected_species","serotype","species","susceptible","affected","confirmation_date","outbreak_n","index","outbreak_id"
"11274","2007/3033","Secundario","España","EXTREMADURA","CÁCERES","PLASENCIA",NA,"Aldehuela de Jerte","Badajoz","Bluetongue",1,"","Ovinos","572","5",2007-11-26,1,11274,"2007/3033_1"
"11275","2007/3032","Secundario","España","EXTREMADURA","CÁCERES","CORIA",NA,"Zarza la Mayor","Badajoz","Bluetongue",1,"","Ovinos","37","3",2007-11-26,1,11275,"2007/3032_1"
"11276","2007/3031","Secundario","España","EXTREMADURA","CÁCERES","CORIA",NA,"Zarza la Mayor","Badajoz","Bluetongue",1,"","Ovinos","22","3",2007-11-26,1,11276,"2007/3031_1"
"11277","2007/3030","Secundario","España","EXTREMADURA","CÁCERES","CORIA",NA,"Zarza la Mayor","Badajoz","Bluetongue",1,"","Ovinos","163","5",2007-11-26,1,11277,"2007/3030_1"
"11278","2007/3029","Secundario","España","EXTREMADURA","CÁCERES","CORIA",NA,"Zarza la Mayor","Badajoz","Bluetongue",1,"","Ovinos","1154","30",2007-11-26,1,11278,"2007/3029_1"
"11279","2007/3028","Secundario","España","EXTREMADURA","CÁCERES","CORIA",NA,"Zarza la Mayor","Badajoz","Bluetongue",1,"","Ovinos","11","1",2007-11-26,1,11279,"2007/3028_1"
"11280","2007/3027","Secundario","España","EXTREMADURA","CÁCERES","CORIA",NA,"Zarza la Mayor","Badajoz","Bluetongue",1,"","Ovinos","33","3",2007-11-26,1,11280,"2007/3027_1"
"11281","2007/3026","Secundario","España","EXTREMADURA","CÁCERES","CORIA",NA,"Zarza la Mayor","Badajoz","Bluetongue",1,"","Ovinos","82","1",2007-11-26,1,11281,"2007/3026_1"
"11282","2007/3025","Secundario","España","EXTREMADURA","CÁCERES","CORIA",NA,"Zarza la Mayor","Badajoz","Bluetongue",1,"","Ovinos","22","4",2007-11-26,1,11282,"2007/3025_1"
"11283","2007/3024","Secundario","España","CASTILLA LA MANCHA","CIUDAD REAL","ALMODOVAR DEL CAMPO",NA,"Mestanza","Ciudad Real","Bluetongue",2,"","Bovinos, Ovinos","22 / 251","0 / 16",2007-11-08,1,11283,"2007/3024_1"
"11284","2007/3023","Secundario","España","EXTREMADURA","CÁCERES","CORIA",NA,"Zarza la Mayor","Badajoz","Bluetongue",1,"","Ovinos","123","5",2007-11-26,1,11284,"2007/3023_1"
